structure,sensor_type,sensor1,sensor2,sync_percentage,matching_timestamps,pairing_reason,sensor1_min,sensor1_max,sensor1_mean,sensor1_std,sensor2_min,sensor2_max,sensor2_mean,sensor2_std,combined_min,combined_max,combined_mean,combined_std,correlation,matching_count
STR178,tilt,TI610,TI611,98.58138086712852,50659,"Complementary (one negative, one positive)",-4.21,0.02,-1.2603985471485817,1.008056940906542,-0.79,1.57,0.2203336031109971,0.7459534560090657,-3.5700000000000003,0.16999999999999998,-1.0400649440375846,0.5006791921847723,-0.8789958539001566,50659
STR179,displacement,DI612,DI614,90.30444551278907,92041,"Complementary (one positive, one negative)",-3.85,97.43,73.152756488956,32.80146261991969,-469.05,439.74,-94.89705337838572,53.15563363284705,-377.71000000000004,533.2,-21.744296889429712,36.49601793982709,-0.7368443901456694,92041
STR179,displacement,DI613,DI614,93.01908582543156,91821,"Complementary (one positive, one negative)",-13.58,464.82,82.80950926258699,42.797764475320776,-469.05,439.74,-94.8751261693948,53.21698443571876,-374.77,539.76,-12.065616906807811,39.60974370656113,-0.6794010818253552,91821
STR179,displacement,DI613,DI615,91.71124078126266,90530,"Complementary (one positive, one negative)",-13.58,464.82,82.61557837181046,43.07059313287199,-468.76,165.0,-89.34232099856402,39.565779138320856,-373.95,353.26,-6.726742626753563,25.99730011781911,-0.8053026550697974,90530
STR179,tilt,TI616,TI617,99.93616697907696,98632,"Complementary (one positive, one negative)",0.04,25.94,0.37305407981182576,1.3708855526787942,-24.78,26.44,-0.5307891962040717,1.7222105714326594,-0.75,52.38,-0.1577351163922459,2.936454908834005,0.7999799307874477,98632
STR179,tilt,TI616,TI618,93.73435869377995,92513,"Complementary (one positive, one negative)",0.04,0.44,0.29846821527785283,0.1030663474961476,-24.56,26.2,-0.45087663355420315,1.1885203398541047,-24.29,26.529999999999998,-0.15240841827635032,1.1723350210561168,-0.1993276886696967,92513
STR179,tilt,TI616,TI619,96.88842506281917,95625,"Complementary (one positive, one negative)",0.04,0.44,0.2993732810457516,0.1015850259281178,-23.96,25.55,-0.23127445751633982,1.1624037819568576,-23.66,25.92,0.06809882352941177,1.1554741065205718,-0.11170828802289336,95625
STR180,tilt,TI624,TI625,99.3662454696836,101443,"Complementary (one positive, one negative)",-25.94,25.94,0.6043985292233077,0.8930443477327508,-0.51,0.11,-0.31390002267283107,0.17357041364311304,-26.44,25.46,0.29049850655047665,0.8498588278716688,-0.33997011713501774,101443
STR180,tilt,TI624,TI627,98.89930975314901,101443,"Complementary (one positive, one negative)",-25.94,25.94,0.6043981349132025,0.8930442966900939,-0.79,0.11,-0.5781777944264266,0.2899266630313823,-26.700000000000003,25.18,0.026220340486775823,0.8384616269769014,-0.3448352995448191,101443
STR180,tilt,TI625,TI626,99.72086463403885,101816,"Complementary (one negative, one positive)",-0.51,0.11,-0.31445264005657264,0.1734953837761268,-26.2,26.2,0.7800011785966842,1.336958133425067,-26.67,25.77,0.4655485385401116,1.28814798020952,-0.34108286881736616,101816
STR180,tilt,TI626,TI627,99.27562371430521,101828,"Complementary (one positive, one negative)",-26.2,26.2,0.7819803983187336,1.365396256974962,-0.79,25.55,-0.576290902305849,0.3884651396830294,-26.95,51.75,0.20568949601288447,1.370614648907986,-0.12879459694578652,101828
STR181,displacement,DI628,DI629,97.87934080012423,100849,"Complementary (one negative, one positive)",-94.88,102.32,-76.16541968685857,34.79288362251808,-469.11,469.14,93.7641940921576,47.45157341408317,-561.29,382.03999999999996,17.59877440529901,17.90258544143354,-0.9514650624121034,100849
STR181,displacement,DI628,DI631,96.63897354271406,99571,"Complementary (one negative, one positive)",-94.88,102.32,-75.76827128380754,35.103830980338806,-333.31,104.1,49.615465045043244,31.267603590632028,-424.99,170.65,-26.152806238764295,24.89516424409753,-0.7243779259263303,99571
STR182,displacement,DI636,DI639,96.65044910179641,67145,"Complementary (one positive, one negative)",-4.42,156.16,113.09451828133145,63.64521195775688,-469.42,440.1,-122.33006359371508,68.62705000544237,-318.69000000000005,592.26,-9.235545312383646,28.514692593172125,-0.9097632646324261,67145
STR182,displacement,DI637,DI639,92.67042837402118,64380,"Complementary (one positive, one negative)",-470.45,470.46,98.21346380863622,56.828617595032874,-469.42,440.1,-120.9768249456353,69.78498582403382,-626.17,565.02,-22.763361136999066,31.381955874115032,-0.8969989766833623,64380
STR183,displacement,DI644,DI646,95.08115289089125,82307,"Complementary (one positive, one negative)",-516.52,964.68,158.15002940211647,83.3774392453761,-342.9,4.09,-265.2788940187347,124.28424527461614,-843.17,642.23,-107.12886461661829,57.25094918844696,-0.9225908768700257,82307
STR183,displacement,DI644,DI647,92.30159683035178,76878,"Complementary (one positive, one negative)",-516.52,876.84,154.9547731470642,82.74958416751335,-658.22,103.41,-70.80003564088555,35.38192279254999,-609.23,813.85,84.15473750617862,50.92707965403768,-0.940250804368078,76878
STR183,tilt,TI648,TI651,95.80361619613822,93626,"Complementary (one negative, one positive)",-29.94,20.08,-1.14597878794352,1.3642332786193987,-0.1,1.24,0.19957319547988805,0.31352729711071853,-28.89,21.209999999999997,-0.946405592463632,1.3550755463952027,-0.14402039726577556,93626
STR184,tilt,TI656,TI658,95.2739489155674,96422,"Complementary (one positive, one negative)",-25.92,25.92,0.06807305386737467,0.7391322904601929,-24.5,24.41,-0.29221941050797534,2.528560616846138,-25.41,26.53,-0.22414635664060067,2.6447830164301216,0.014698664645298188,96422
STR184,tilt,TI657,TI658,94.99352824353565,96142,"Complementary (one positive, one negative)",-26.14,26.11,0.6758489525909592,0.6424052972900417,-24.5,24.41,-0.3061109608703793,2.5310452232173914,-26.16,26.28,0.36973799172058,2.6297347128223163,0.0297148633819624,96142
